1, 0.1, 95, 9.5,
10, 0.88, 88, 77.44,
33, 2.43, 73, 177.39,
56, 3.49, 63, 219.87,
82, 4.22, 54, 238.86,
100, 4.91, 49.5, 243.04,
120, 5.35, 45.5, 243.42,
150, 5.91, 40, 236.4,
330, 7.67, 23, 176.41,
560, 8.48, 15, 127.2,
820, 8.92, 11, 98.12,
1000, 9.12, 9.1, 82.99,
1500, 9.38, 6.3, 59.09,
3300, 9.76, 2.95, 28.79,
5600, 9.86, 1.75, 17.25,
8200, 9.93, 1.2, 11.91,
10000, 9.96, 0.99, 9.86,
