0 , 0 , 0 
5 , 2.5 , 4.7 
10 , 4.2 , 8.1 
15 , 5.4 , 10.6 
20 , 6.25 , 12.1 
25 , 6.7 , 13.1 
30 , 7.02 , 13.9 
40 , 7.45 , 14.83 
50 , 7.64 , 15.26 
60 , 7.75 , 15.46 
70 , 7.79 , 15.56 
80 , 7.81 , 15.61 
90 , 7.82 , 15.63  , 7.82 , 15.63 
95 ,,, 5.1 , 11.1 
100 ,,, 3.5 , 7.4 
105 ,,, 2.4 , 5.3 
110 ,,, 1.7 , 3.5 
115 ,,, 1.18 , 2.5 
120 ,,, 0.8 , 1.74 
130 ,,, 0.4 , 0.83 
140 ,,, 0.18 , 0.39 
150 ,,, 0.089 , 0.184 
160 ,,, 0.042 , 0.089 
170 ,,, 0.020 , 0.043 
180 ,,, 0.009 , 0.02 
